customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-05-11
2,장춘자,F,32,대구,2023-12-14
3,김상현,F,61,성남,2025-03-16
4,김재호,F,55,울산,2025-04-29
5,최준서,F,19,부산,2023-09-17
6,한순자,F,32,성남,2024-02-27
7,이미숙,F,53,인천,2023-12-25
8,조지원,M,32,수원,2025-11-17
9,우영미,M,69,서울,2025-05-07
10,강채원,F,62,울산,2025-06-03
11,김서윤,M,35,대구,2024-07-23
12,김동현,F,66,대전,2024-07-10
13,이영미,F,23,울산,2024-04-26
14,심재호,F,40,대전,2025-07-08
15,서민준,M,69,서울,2024-10-29
16,윤윤서,M,52,부산,2025-09-29
17,황서윤,M,23,성남,2023-10-15
18,이상철,M,58,고양,2026-07-09
19,이은지,M,54,인천,2024-11-16
20,박수민,F,20,인천,2024-06-06
21,이은경,M,23,인천,2026-05-21
22,김현준,F,42,광주,2025-03-21
23,김민석,M,58,대전,2025-07-28
24,이명자,F,41,대전,2024-11-01
25,박현지,F,60,광주,2026-04-10
26,오정수,F,56,대구,2025-04-20
27,윤민석,F,28,수원,2024-12-29
28,곽중수,M,35,성남,2024-06-24
29,김하은,F,61,대전,2026-04-21
30,윤우진,F,32,서울,2024-02-24
31,박지영,M,43,광주,2025-04-13
32,이경수,F,31,고양,2026-06-24
33,류수진,M,31,수원,2023-11-12
34,하미경,M,59,수원,2025-02-23
35,권정훈,F,34,대구,2024-01-28
36,최상훈,F,65,성남,2026-04-23
37,김영철,M,65,고양,2025-11-18
38,이현준,M,55,울산,2025-08-22
39,박민석,M,32,대구,2024-05-13
40,최상현,M,23,서울,2024-05-08
41,강상현,F,27,대구,2026-05-29
42,김서현,M,56,부산,2025-09-12
43,김진우,M,42,고양,2025-05-27
44,안준서,M,51,광주,2024-04-05
45,이승현,F,61,부산,2025-02-02
46,장현지,M,67,대전,2023-12-26
47,이준호,F,36,울산,2024-06-08
48,박승현,F,47,서울,2024-07-11
49,유시우,M,50,대구,2026-04-11
50,김혜진,F,58,광주,2026-03-14
51,남지혜,F,27,대전,2024-03-10
52,김승민,F,52,성남,2023-11-13
53,민상훈,F,56,대전,2026-01-16
54,이진호,M,19,부산,2026-09-04
55,오민지,M,69,광주,2024-07-31
56,최유진,F,21,인천,2025-12-07
57,최영일,F,23,수원,2026-04-01
58,성도현,F,66,성남,2024-03-31
59,장서현,F,26,수원,2024-01-19
60,김은서,F,34,성남,2025-07-19
61,최영진,M,31,성남,2026-06-30
62,오상호,F,63,광주,2024-11-16
63,이숙자,M,60,대전,2025-12-12
64,박현준,M,51,수원,2026-09-05
65,김상훈,F,33,인천,2026-06-28
66,양영미,F,39,서울,2024-02-29
67,한은영,F,55,인천,2026-08-27
68,김지은,F,22,서울,2024-08-03
69,심미정,F,22,서울,2024-01-14
70,최서준,M,22,성남,2025-07-03
71,김은주,F,35,수원,2024-06-25
72,백준혁,F,52,대구,2023-12-20
73,이건우,M,33,수원,2026-01-02
74,이지아,M,30,부산,2025-05-06
75,김도현,F,60,울산,2026-05-04
76,정지현,M,45,울산,2025-06-09
77,김성수,M,64,서울,2026-05-22
78,고하윤,F,21,울산,2024-04-27
79,김종수,M,69,부산,2026-05-06
80,강민재,F,30,인천,2026-06-25
81,구지원,M,26,울산,2026-05-03
82,서성진,F,35,수원,2026-06-26
83,문지원,F,22,수원,2024-06-28
84,김채원,F,21,성남,2026-04-08
85,류영길,F,23,인천,2024-08-09
86,김경자,F,44,수원,2024-04-08
87,문현우,M,31,울산,2024-07-11
88,이현지,F,28,울산,2025-04-19
89,김현지,F,42,광주,2024-03-23
90,이미영,M,36,울산,2024-12-29
91,이은영,M,27,인천,2025-03-23
92,최상훈,M,31,서울,2025-10-25
93,유영철,F,65,대전,2025-11-06
94,장아름,F,21,고양,2023-11-25
95,이숙자,M,50,성남,2026-03-27
96,이숙자,F,21,성남,2024-11-30
97,이민수,F,29,부산,2024-12-13
98,장하윤,F,61,인천,2025-07-15
99,최건우,M,25,고양,2024-07-20
100,최재호,F,55,고양,2025-01-31
101,김영수,F,57,부산,2026-05-24
102,김미경,M,60,고양,2025-03-27
103,이지은,M,34,인천,2025-12-11
104,김서연,M,33,광주,2023-10-06
105,박준혁,M,26,광주,2023-11-28
106,강병철,M,38,부산,2025-10-12
107,김재호,F,47,고양,2023-09-16
108,황미숙,F,22,성남,2024-12-18
109,성영진,F,50,광주,2023-11-04
110,홍영길,F,40,부산,2026-02-04
111,민은서,F,41,광주,2026-07-17
112,강정희,F,46,성남,2025-03-16
113,최하윤,M,57,성남,2025-12-03
114,김상호,F,60,성남,2025-08-08
115,박은정,M,60,부산,2024-07-06
116,이서준,F,34,부산,2024-08-25
117,김서현,F,65,성남,2025-10-09
118,김영순,F,35,광주,2025-04-26
119,김승현,F,63,대전,2026-05-28
120,한지혜,F,61,광주,2025-12-27
121,김성현,M,34,서울,2025-12-13
122,곽영자,F,58,울산,2025-12-07
123,조서윤,M,20,서울,2024-05-07
124,김성진,M,67,대구,2025-09-23
125,김영수,M,28,수원,2024-01-27
126,김영숙,M,53,서울,2025-05-20
127,윤민수,F,22,대구,2025-01-28
128,이상철,F,41,고양,2024-09-02
129,이지아,F,45,대구,2026-03-09
130,김경수,F,37,대전,2025-04-23
131,이은지,F,40,인천,2026-01-13
132,권현정,F,60,부산,2024-04-15
133,김민수,M,67,성남,2025-09-12
134,김정자,M,57,대구,2025-12-28
135,조정호,F,28,대구,2024-01-13
136,차미영,M,19,대구,2023-10-08
137,장진호,M,68,울산,2024-11-17
138,김정순,F,35,대구,2025-07-28
139,황준혁,F,42,서울,2025-06-29
140,나종수,M,32,인천,2024-09-24
141,이영일,M,40,광주,2024-09-17
142,류미숙,F,32,서울,2026-07-29
143,류정자,F,43,대전,2024-12-30
144,차수민,M,22,광주,2026-02-11
145,박영희,M,59,성남,2025-11-19
146,고준영,M,61,성남,2023-12-13
147,김예은,M,19,부산,2025-07-09
148,김준혁,M,29,고양,2024-03-27
149,안성현,M,20,부산,2026-05-01
150,이경숙,M,40,대전,2026-07-15
